########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

0	2.61376
128	1.42914
256	0.83712
384	0.675857
512	0.730197
640	0.922583
768	0.634774
896	0.629312
1024	0.509094
1152	0.49973
1280	0.472718
1408	0.471236
1536	0.440148
1664	0.43702
1792	0.423284
1920	0.421797
2048	0.404226
2176	0.393319
2304	0.381186
2432	0.379817
2560	0.370547
2688	0.365374
2816	0.352644
2944	0.344292
3072	0.334812
3200	0.335033
3328	0.331461
3456	0.322067
3584	0.318304
3712	0.318757
3840	0.305751
3968	0.273913
4096	0.291547
4224	0.311818
4352	0.359312
4480	0.298702
4608	0.416306
4736	0.283591
4864	0.259671
4992	0.2598
5120	0.270151
5248	0.262191
5376	0.257308
5504	0.232019
5632	0.229493
5760	0.224538
5888	0.234948
6016	0.241787
6144	0.251413
6272	0.218173
6400	0.207409
6528	0.209128
6656	0.224864
6784	0.206717
6912	0.259312
7040	0.208482
7168	0.190281
7296	0.21861
7424	0.305302
7552	0.376377
7680	0.439802
7808	0.296145
7936	0.200205
8064	0.184845
8192	0.176699
8320	0.169876
8448	0.167166
8576	0.169709
8704	0.184091
8832	0.200482
8960	0.198056
9088	0.188576
9216	0.156902
9344	0.143693
9472	0.140283
9600	0.141396
9728	0.148337
9856	0.170753
9984	0.212767
10112	0.177039
10240	0.158963
10368	0.265507
10496	0.188741
10624	0.53007
10752	0.153477
10880	0.139697
11008	0.133126
11136	0.127566
11264	0.122985
11392	0.120546
11520	0.117187
11648	0.115864
11776	0.114279
11904	0.118525
12032	0.137261
12160	0.217217
12288	0.262703
12416	0.125284
12544	0.112708
12672	0.107303
12800	0.103104
12928	0.0990545
13056	0.0973455
13184	0.0954133
13312	0.095277
13440	0.100105
13568	0.10381
13696	0.134314
13824	0.237503
13952	0.249442
14080	0.195042
14208	0.098159
14336	0.0922954
14464	0.0891383
14592	0.0850426
14720	0.0813156
14848	0.0791043
14976	0.07484
15104	0.0752547
15232	0.0744031
15360	0.0796935
15488	0.0996045
15616	0.105886
15744	0.0922535
15872	0.0695209
16000	0.0601568
16128	0.054501
16256	0.0517045
16384	0.0498031
16512	0.0489957
16640	0.0458818
16768	0.0439806
16896	0.0400549
17024	0.0405503
17152	0.0367703
17280	0.038673
17408	0.0454037
17536	0.075077
17664	0.259784
17792	0.0603268
17920	0.0376431
