########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

0	2.66733
128	2.44217
256	2.27014
384	2.1604
512	2.0709
640	1.99139
768	1.92086
896	1.85328
1024	1.79059
1152	1.72721
1280	1.66653
1408	1.60755
1536	1.5453
1664	1.48626
1792	1.42317
1920	1.36069
2048	1.30134
2176	1.23717
2304	1.17242
2432	1.11135
2560	1.04495
2688	0.983329
2816	0.918781
2944	0.857845
3072	0.79906
3200	0.741802
3328	0.691429
3456	0.642634
3584	0.603395
3712	0.571047
3840	0.543995
3968	0.522127
4096	0.502578
4224	0.487453
4352	0.474682
4480	0.460757
4608	0.450275
4736	0.442805
4864	0.437787
4992	0.427463
5120	0.42367
5248	0.416606
5376	0.411619
5504	0.407153
5632	0.404227
5760	0.399663
5888	0.396366
6016	0.392289
6144	0.389639
6272	0.387961
6400	0.383844
6528	0.381022
6656	0.380279
6784	0.375359
6912	0.372677
7040	0.370646
7168	0.370174
7296	0.366286
7424	0.362307
7552	0.362028
7680	0.360858
7808	0.356163
7936	0.353506
8064	0.351864
8192	0.349151
8320	0.346144
8448	0.344966
8576	0.33968
8704	0.338245
8832	0.334443
8960	0.333091
9088	0.329586
9216	0.332468
9344	0.327996
9472	0.322048
9600	0.319927
9728	0.342257
9856	0.316252
9984	0.312955
10112	0.301762
10240	0.325859
10368	0.318584
10496	0.314143
10624	0.319953
10752	0.315216
10880	0.304268
11008	0.321074
11136	0.311968
11264	0.305622
11392	0.300817
11520	0.296224
11648	0.309857
11776	0.300243
11904	0.297169
12032	0.2945
12160	0.290804
12288	0.286201
12416	0.300035
12544	0.289594
12672	0.284314
12800	0.273226
12928	0.264557
13056	0.321103
13184	0.305214
13312	0.297637
13440	0.291264
13568	0.285517
13696	0.276759
13824	0.273892
13952	0.287133
14080	0.279643
14208	0.264418
14336	0.283213
14464	0.265267
14592	0.274473
14720	0.275033
14848	0.257791
14976	0.266138
15104	0.281056
15232	0.265204
15360	0.254227
15488	0.248005
15616	0.281843
15744	0.259381
15872	0.237202
16000	0.297476
16128	0.281095
16256	0.265574
16384	0.260155
16512	0.254154
16640	0.243394
16768	0.232305
16896	0.267328
17024	0.237586
17152	0.2744
17280	0.226948
17408	0.272912
17536	0.218767
17664	0.234226
17792	0.292435
17920	0.261713
18048	0.246313
18176	0.256354
18304	0.237312
18432	0.233084
