########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=20

########

0	2.54584
128	2.39488
256	2.29312
384	2.20516
512	2.13671
640	2.07212
768	2.01959
896	1.97026
1024	1.91577
1152	1.86651
1280	1.81636
1408	1.77928
1536	1.73274
1664	1.6982
1792	1.64608
1920	1.61552
2048	1.58164
2176	1.5417
2304	1.51152
2432	1.46656
2560	1.4378
2688	1.40145
2816	1.37616
2944	1.34241
3072	1.30901
3200	1.27892
3328	1.24941
3456	1.21236
3584	1.18516
3712	1.15684
3840	1.12896
3968	1.10315
4096	1.06588
4224	1.04654
4352	1.01051
4480	0.990946
4608	0.968101
4736	0.936514
4864	0.91086
4992	0.892561
5120	0.863013
5248	0.849472
5376	0.828416
5504	0.814881
5632	0.786535
5760	0.770569
5888	0.746361
6016	0.730807
6144	0.710671
6272	0.706646
6400	0.674756
6528	0.661001
6656	0.640339
6784	0.629708
6912	0.615729
7040	0.605926
7168	0.590419
7296	0.57207
7424	0.556693
7552	0.539552
7680	0.532883
7808	0.519972
7936	0.502419
8064	0.497333
8192	0.476376
8320	0.45882
8448	0.456944
8576	0.445923
8704	0.426746
8832	0.424081
8960	0.395369
9088	0.399996
9216	0.39296
9344	0.376681
9472	0.357715
9600	0.348767
9728	0.343177
9856	0.333176
9984	0.32883
10112	0.306533
10240	0.307639
10368	0.287385
10496	0.276757
10624	0.276825
10752	0.262518
10880	0.260575
11008	0.247452
11136	0.235352
11264	0.233528
11392	0.222882
11520	0.217798
11648	0.209966
11776	0.206393
11904	0.200238
12032	0.193294
12160	0.18056
12288	0.180118
12416	0.171976
12544	0.164015
12672	0.158503
12800	0.152337
12928	0.147685
13056	0.143674
13184	0.136475
13312	0.145214
13440	0.12917
13568	0.127971
13696	0.120899
13824	0.118824
13952	0.120021
14080	0.110451
14208	0.11036
14336	0.10283
14464	0.0951774
14592	0.103791
14720	0.0880188
14848	0.0925564
14976	0.0870165
15104	0.0831443
15232	0.0734305
15360	0.0800452
15488	0.0737286
15616	0.0779852
15744	0.0708085
15872	0.0719886
16000	0.065937
16128	0.063968
16256	0.0588511
16384	0.060328
16512	0.0574076
16640	0.0571453
16768	0.0559158
16896	0.0569532
17024	0.0527999
17152	0.0509581
17280	0.0482278
17408	0.0466832
17536	0.0403969
17664	0.043862
17792	0.042179
17920	0.0413752
