########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

0.0	1.89653
128.0	1.05485
256.0	0.813514
384.0	0.587153
512.0	0.404297
640.0	0.299028
768.0	0.240738
896.0	0.172879
1024.0	0.165063
1152.0	0.148633
1280.0	0.12267
1408.0	0.123063
1536.0	0.125732
1664.0	0.141372
1792.0	1.13334
1920.0	1.76931
2048.0	1.11229
2176.0	12.564
2304.0	2.29734
2432.0	2.19396
2560.0	2.10948
2688.0	2.0368
2816.0	1.97073
2944.0	1.90869
3072.0	1.84535
3200.0	1.77447
3328.0	1.70555
3456.0	1.63389
3584.0	1.55818
3712.0	1.47529
3840.0	1.38038
3968.0	1.26783
4096.0	1.11957
4224.0	0.891403
4352.0	0.451727
4480.0	9.152
4608.0	1.60727
4736.0	1.57889
4864.0	1.55028
4992.0	1.52112
5120.0	1.49071
5248.0	1.46075
5376.0	1.42969
5504.0	1.39866
5632.0	1.36763
5760.0	1.33634
5888.0	1.3054
6016.0	1.27433
6144.0	1.24288
6272.0	1.21097
6400.0	1.17836
6528.0	1.14478
6656.0	1.11002
6784.0	1.07492
6912.0	1.0388
7040.0	1.00176
7168.0	0.96374
7296.0	0.925212
7424.0	0.886096
7552.0	0.846641
7680.0	0.80646
7808.0	0.766298
7936.0	0.725891
8064.0	0.685581
8192.0	0.64567
8320.0	0.606075
8448.0	0.567295
8576.0	0.529205
8704.0	0.492649
8832.0	0.456793
8960.0	0.422484
9088.0	0.389923
9216.0	0.358671
9344.0	0.32983
9472.0	0.302965
9600.0	0.278224
9728.0	0.255471
9856.0	0.234833
9984.0	0.216346
10112.0	0.199356
10240.0	0.184611
10368.0	0.171352
10496.0	0.159511
10624.0	0.149177
10752.0	0.140136
10880.0	0.132042
11008.0	0.125327
11136.0	0.11922
11264.0	0.113764
11392.0	0.109275
11520.0	0.105278
11648.0	0.1017
11776.0	0.0987432
11904.0	0.0958866
12032.0	0.093811
12160.0	0.0915226
12288.0	0.0896132
12416.0	0.0882609
12544.0	0.0868866
12672.0	0.0859549
12800.0	0.0845933
12928.0	0.0837291
13056.0	0.082679
13184.0	0.0818533
13312.0	0.0808821
13440.0	0.0802209
13568.0	0.0793482
13696.0	0.0788631
13824.0	0.0784484
13952.0	0.0777199
14080.0	0.0774992
14208.0	0.0766158
14336.0	0.0762902
