########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

0.0	2.80819
128.0	1.66538
256.0	0.592529
384.0	1.82936
512.0	0.954116
640.0	0.796086
768.0	0.668231
896.0	0.567079
1024.0	0.482907
1152.0	0.414445
1280.0	0.359968
1408.0	0.315801
1536.0	0.280666
1664.0	0.252495
1792.0	0.228386
1920.0	0.20953
2048.0	0.193153
2176.0	0.181085
2304.0	0.169876
2432.0	0.161559
2560.0	0.153822
2688.0	0.147484
2816.0	0.141847
2944.0	0.137813
3072.0	0.134044
3200.0	0.130912
3328.0	0.12807
3456.0	0.126015
3584.0	0.123922
3712.0	0.121751
3840.0	0.121744
3968.0	0.119434
4096.0	0.118917
4224.0	0.117775
4352.0	0.116266
4480.0	0.115882
4608.0	0.114297
4736.0	0.114285
4864.0	0.113883
4992.0	0.112616
5120.0	0.112474
5248.0	0.111865
5376.0	0.110617
5504.0	0.110421
5632.0	0.109996
5760.0	0.109875
5888.0	0.108836
6016.0	0.108701
6144.0	0.10743
6272.0	0.107015
6400.0	0.106683
6528.0	0.105293
6656.0	0.105248
6784.0	0.105242
6912.0	0.103961
7040.0	0.10271
7168.0	0.102704
7296.0	0.102061
7424.0	0.101734
7552.0	0.101017
7680.0	0.09976
7808.0	0.10015
7936.0	0.0978367
8064.0	0.0988673
8192.0	0.0973458
8320.0	0.0963982
8448.0	0.0952628
8576.0	0.0951436
8704.0	0.0945451
8832.0	0.0936587
8960.0	0.0928114
9088.0	0.0920806
9216.0	0.0921197
9344.0	0.0908245
9472.0	0.0896679
9600.0	0.0896205
9728.0	0.0893617
9856.0	0.088409
9984.0	0.0875045
10112.0	0.0873039
10240.0	0.0864202
10368.0	0.0857881
10496.0	0.0851052
10624.0	0.0846351
10752.0	0.0836727
10880.0	0.0833994
11008.0	0.0826567
11136.0	0.082214
11264.0	0.0818435
11392.0	0.0814506
11520.0	0.0807224
11648.0	0.0799957
11776.0	0.0795567
11904.0	0.0791759
12032.0	0.0786046
12160.0	0.0783457
12288.0	0.0781056
12416.0	0.0781561
12544.0	0.077298
12672.0	0.0775235
12800.0	0.0767254
12928.0	0.0759548
13056.0	0.0752056
13184.0	0.0747157
13312.0	0.0745846
13440.0	0.0744426
13568.0	0.0738263
13696.0	0.0736547
13824.0	0.0735601
13952.0	0.0752016
14080.0	0.0733262
