########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

0.0	2.72868
128.0	2.46056
256.0	2.25568
384.0	2.12671
512.0	2.02253
640.0	1.93069
768.0	1.84748
896.0	1.76943
1024.0	1.69444
1152.0	1.62166
1280.0	1.54992
1408.0	1.47832
1536.0	1.40652
1664.0	1.33496
1792.0	1.26206
1920.0	1.18861
2048.0	1.11456
2176.0	1.0393
2304.0	0.963992
2432.0	0.888027
2560.0	0.811729
2688.0	0.736641
2816.0	0.663511
2944.0	0.594624
3072.0	0.531526
3200.0	0.473572
3328.0	0.42358
3456.0	0.377883
3584.0	0.33914
3712.0	0.30602
3840.0	0.279632
3968.0	0.256918
4096.0	0.238182
4224.0	0.223477
4352.0	0.209118
4480.0	0.197783
4608.0	0.188641
4736.0	0.180054
4864.0	0.17252
4992.0	0.167174
5120.0	0.307052
5248.0	0.764469
5376.0	0.566551
5504.0	0.389871
5632.0	0.287018
5760.0	0.275184
5888.0	0.323001
6016.0	0.209834
6144.0	0.170588
6272.0	0.164753
6400.0	0.160652
6528.0	0.156796
6656.0	0.153183
6784.0	0.149667
6912.0	0.146017
7040.0	0.144104
7168.0	0.141994
7296.0	0.139032
7424.0	0.13705
7552.0	0.135324
7680.0	0.132972
7808.0	0.131076
7936.0	0.129241
8064.0	0.127323
8192.0	0.12587
8320.0	0.124078
8448.0	0.123257
8576.0	0.121449
8704.0	0.119287
8832.0	0.118401
8960.0	0.117437
9088.0	0.115589
9216.0	0.114898
9344.0	0.113073
9472.0	0.112622
9600.0	0.111396
9728.0	0.11035
9856.0	0.108808
9984.0	0.107942
10112.0	0.107041
10240.0	0.106605
10368.0	0.10527
10496.0	0.104184
10624.0	0.103425
10752.0	0.102765
10880.0	0.102034
11008.0	0.101414
11136.0	0.100356
11264.0	0.0994473
11392.0	0.0991981
11520.0	0.0988384
11648.0	0.0977755
11776.0	0.0967444
11904.0	0.0968572
12032.0	0.0956619
12160.0	0.0954296
12288.0	0.0947983
12416.0	0.0942322
12544.0	0.0936089
12672.0	0.0926869
12800.0	0.0925458
12928.0	0.0916301
13056.0	0.0917355
13184.0	0.0909653
13312.0	0.0907224
13440.0	0.0900879
13568.0	0.0899254
13696.0	0.0897793
13824.0	0.0888275
13952.0	0.0887413
14080.0	0.0885819
14208.0	0.0882722
14336.0	0.0877012
