########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

0	2.873327
128	2.813562
256	2.754569
384	2.693663
512	2.633643
640	2.573828
768	2.514457
896	2.448058
1024	2.385395
1152	2.316722
1280	2.244616
1408	2.175737
1536	2.097943
1664	2.020691
1792	1.935614
1920	1.849635
2048	1.760407
2176	1.665887
2304	1.569241
2432	1.466679
2560	1.369483
2688	1.273726
2816	1.186857
2944	1.108608
3072	1.030411
3200	0.966293
3328	0.918312
3456	0.866700
3584	0.827323
3712	0.801152
3840	0.766673
3968	0.742654
4096	0.723831
4224	0.715559
4352	0.703905
4480	0.698192
4608	0.680832
4736	0.676381
4864	0.670809
4992	0.670576
5120	0.660039
5248	0.650164
5376	0.641461
5504	0.646061
5632	0.639428
5760	0.639978
5888	0.634248
6016	0.628223
6144	0.623237
6272	0.623406
6400	0.619765
6528	0.615339
6656	0.610221
6784	0.611642
6912	0.602238
7040	0.601698
7168	0.593156
7296	0.593715
7424	0.593857
7552	0.591192
7680	0.583769
7808	0.580136
7936	0.580260
8064	0.573135
8192	0.571247
8320	0.569194
8448	0.567581
8576	0.563976
8704	0.559531
8832	0.556213
8960	0.551397
9088	0.549663
9216	0.547313
9344	0.547219
9472	0.542256
9600	0.536320
9728	0.535801
9856	0.532877
9984	0.529991
10112	0.530068
10240	0.534576
10368	0.557473
10496	0.524724
10624	0.524907
10752	0.527044
10880	0.548263
11008	0.520309
11136	0.519041
11264	0.519710
11392	0.533408
11520	0.517089
11648	0.524378
11776	0.514668
11904	0.521587
12032	0.513914
12160	0.526724
12288	0.509113
12416	0.509254
12544	0.510983
12672	0.523210
12800	0.506758
12928	0.513056
13056	0.507376
13184	0.519635
13312	0.503188
13440	0.505268
13568	0.501684
13696	0.510171
13824	0.501569
13952	0.513192
14080	0.498134
14208	0.501638
14336	0.497920
14464	0.507100
14592	0.496110
14720	0.501045
14848	0.496311
14976	0.508278
15104	0.492511
15232	0.492577
15360	0.492931
15488	0.506785
15616	0.490764
15744	0.493136
15872	0.492497
16000	0.510525
16128	0.486321
16256	0.484887
16384	0.484780
16512	0.493362
16640	0.487801
16768	0.500631
16896	0.484198
17024	0.490229
17152	0.482155
17280	0.486124
17408	0.482786
17536	0.496424
17664	0.479369
17792	0.481821
17920	0.481271
18048	0.498754
18176	0.476338
18304	0.474948
18432	0.475974
