########

	Model: LSTM with 8570 parameters on

#Task:
# Copying Task with T=100

########

0	1.883946
128	1.870059
256	1.857024
384	1.846128
512	1.828003
640	1.814564
768	1.799213
896	1.782729
1024	1.767263
1152	1.751919
1280	1.731667
1408	1.710453
1536	1.691624
1664	1.678539
1792	1.651618
1920	1.636947
2048	1.619365
2176	1.600089
2304	1.579532
2432	1.561893
2560	1.543435
2688	1.518615
2816	1.507135
2944	1.485242
3072	1.470540
3200	1.449207
3328	1.432352
3456	1.412182
3584	1.392552
3712	1.372056
3840	1.351789
3968	1.339274
4096	1.314222
4224	1.301551
4352	1.278404
4480	1.256840
4608	1.238432
4736	1.217202
4864	1.194248
4992	1.177108
5120	1.157913
5248	1.135003
5376	1.118191
5504	1.101868
5632	1.080686
5760	1.063447
5888	1.048282
6016	1.027272
6144	1.013360
6272	0.999085
6400	0.973121
6528	0.956462
6656	0.943862
6784	0.926925
6912	0.915332
7040	0.900628
7168	0.884948
7296	0.870503
7424	0.854436
7552	0.846728
7680	0.831848
7808	0.819261
7936	0.808427
8064	0.795287
8192	0.781585
8320	0.772007
8448	0.761536
8576	0.756645
8704	0.742964
8832	0.730874
8960	0.722384
9088	0.715194
9216	0.705813
9344	0.698031
9472	0.688177
9600	0.682292
9728	0.672885
9856	0.666384
9984	0.662709
10112	0.659014
10240	0.652819
10368	0.644647
10496	0.638619
10624	0.633238
10752	0.630198
10880	0.625993
11008	0.623108
11136	0.617529
11264	0.609854
11392	0.610147
11520	0.609104
11648	0.603708
11776	0.601189
11904	0.598191
12032	0.594173
12160	0.590051
12288	0.589549
12416	0.587662
12544	0.582665
12672	0.581914
12800	0.578701
12928	0.574867
13056	0.573705
13184	0.571550
13312	0.566711
13440	0.566137
13568	0.565685
13696	0.561687
13824	0.560978
13952	0.559608
14080	0.558367
14208	0.557165
14336	0.554742
14464	0.552694
14592	0.550122
14720	0.550712
14848	0.545714
14976	0.545449
15104	0.545227
15232	0.541644
15360	0.541841
15488	0.539645
15616	0.538568
15744	0.538421
15872	0.535550
16000	0.533924
16128	0.533047
16256	0.529686
16384	0.531556
16512	0.528201
16640	0.526371
16768	0.524051
16896	0.523295
17024	0.523864
17152	0.519805
17280	0.517250
17408	0.515035
17536	0.516097
17664	0.511291
17792	0.527901
17920	0.511033
18048	0.508789
18176	0.504232
18304	0.499289
18432	0.483319
