########

	Model: URNN with 6155 parameters on

#Task:
# Copying Task with T=100

########

0	17.515762
128	14.388114
256	12.850900
384	11.962385
512	10.898979
640	10.175318
768	9.305819
896	8.606462
1024	8.008199
1152	7.438058
1280	6.956618
1408	6.407931
1536	6.075825
1664	5.737929
1792	5.547086
1920	5.396640
2048	5.061975
2176	5.034515
2304	4.938759
2432	4.740532
2560	4.667968
2688	4.595430
2816	4.500359
2944	4.483635
3072	4.484739
3200	4.331746
3328	4.302204
3456	4.322602
3584	4.217152
3712	4.223749
3840	4.098226
3968	3.995330
4096	3.909586
4224	3.810086
4352	3.796200
4480	3.755575
4608	3.607669
4736	3.596527
4864	3.453628
4992	3.323782
5120	3.291663
5248	3.145073
5376	3.141341
5504	3.071018
5632	2.967246
5760	2.991212
5888	2.970528
6016	2.804862
6144	2.829570
6272	2.799352
6400	2.676457
6528	2.663500
6656	2.559370
6784	2.540298
6912	2.464891
7040	2.424272
7168	2.382074
7296	2.301154
7424	2.288914
7552	2.176864
7680	2.115126
7808	2.036005
7936	1.954208
8064	1.913582
8192	1.819987
8320	1.734596
8448	1.657434
8576	1.634341
8704	1.585942
8832	1.565084
8960	1.454867
9088	1.416636
9216	1.419729
9344	1.430472
9472	1.422219
9600	1.356014
9728	1.380368
9856	1.304833
9984	1.294207
10112	1.248606
10240	1.220037
10368	1.200337
10496	1.169168
10624	1.198489
10752	1.187853
10880	1.187058
11008	1.264821
11136	1.217267
11264	1.259451
11392	1.158324
11520	1.188039
11648	1.124255
11776	1.099910
11904	1.050330
12032	1.054536
12160	1.017355
12288	1.009365
12416	1.000459
12544	0.965925
12672	0.961190
12800	1.026345
12928	1.127794
13056	1.118612
13184	0.929908
13312	0.921543
13440	0.887893
13568	0.899397
13696	0.919712
13824	0.931265
13952	1.099180
14080	0.946736
14208	0.892601
14336	0.847899
14464	0.857282
14592	0.817009
14720	0.788527
14848	0.787548
14976	0.769975
15104	0.774226
15232	0.759479
15360	0.824952
15488	0.891682
15616	0.923096
15744	0.757310
15872	0.743976
16000	0.806203
16128	0.754042
16256	0.723744
16384	0.712599
16512	0.711632
16640	0.749862
16768	0.744420
16896	0.731549
17024	0.715901
17152	0.710377
17280	0.671214
17408	0.648111
17536	0.648646
17664	0.651118
17792	0.652023
17920	0.658422
18048	0.608656
18176	0.661127
18304	1.067111
18432	0.784644
