########

	Model: LSTM with 7323 parameters on

#Task:
# Copying Task with T=200

########

0	1.713266
128	1.645063
256	1.576357
384	1.509102
512	1.444353
640	1.384885
768	1.331373
896	1.280192
1024	1.234514
1152	1.189645
1280	1.150808
1408	1.112031
1536	1.075989
1664	1.041990
1792	1.007887
1920	0.977577
2048	0.946268
2176	0.916628
2304	0.886591
2432	0.857876
2560	0.830689
2688	0.804642
2816	0.777760
2944	0.750790
3072	0.727824
3200	0.702220
3328	0.679194
3456	0.656002
3584	0.634427
3712	0.611824
3840	0.591409
3968	0.571935
4096	0.551171
4224	0.533266
4352	0.515119
4480	0.498865
4608	0.482407
4736	0.467307
4864	0.452780
4992	0.438633
5120	0.425182
5248	0.412808
5376	0.400762
5504	0.390386
5632	0.379584
5760	0.370330
5888	0.361356
6016	0.353061
6144	0.344794
6272	0.337769
6400	0.331126
6528	0.324921
6656	0.318864
6784	0.313288
6912	0.308942
7040	0.303870
7168	0.298391
7296	0.296135
7424	0.292093
7552	0.287783
7680	0.285380
7808	0.282142
7936	0.279341
8064	0.276895
8192	0.274757
8320	0.272961
8448	0.270081
8576	0.269059
8704	0.267410
8832	0.266181
8960	0.264862
9088	0.262423
9216	0.262047
9344	0.261177
9472	0.259300
9600	0.258859
9728	0.257309
9856	0.256729
9984	0.256209
10112	0.255420
10240	0.254091
10368	0.253233
10496	0.253132
10624	0.252506
10752	0.251435
10880	0.250769
11008	0.249902
11136	0.249530
11264	0.248757
11392	0.248284
11520	0.247479
11648	0.246203
11776	0.246498
11904	0.245433
12032	0.244651
12160	0.244377
12288	0.243792
12416	0.242788
12544	0.242092
12672	0.241773
12800	0.240970
12928	0.240370
13056	0.239894
13184	0.239276
13312	0.238501
13440	0.237813
13568	0.237040
13696	0.236562
13824	0.236091
13952	0.235052
14080	0.234701
14208	0.234235
14336	0.233538
14464	0.232762
14592	0.232023
14720	0.231566
14848	0.230538
14976	0.229953
15104	0.229074
15232	0.228182
15360	0.227255
15488	0.226033
15616	0.225184
15744	0.223413
15872	0.221254
16000	0.219432
16128	0.217533
16256	0.214760
16384	0.227843
16512	0.236679
16640	0.220094
16768	0.214026
16896	0.212499
17024	0.210493
17152	0.209242
17280	0.206960
17408	0.205236
17536	0.203206
17664	0.202421
17792	0.247167
17920	0.231527
18048	0.206645
18176	0.202176
18304	0.200833
18432	0.199406
